Gas consumption package calculation
Gas type - "methane"
Gas press ~ 15 MPa
Gas temp - 0 cel

Cycle #0 | Gas pressure drop = 0.0506627 MPa
0.16 | Mass consumption = 1652 kg/sec | Volume consumption = 15 m3/sec
0.17 | Mass consumption = 1762 kg/sec | Volume consumption = 16 m3/sec
0.18 | Mass consumption = 1873 kg/sec | Volume consumption = 17 m3/sec
0.19 | Mass consumption = 1983 kg/sec | Volume consumption = 18 m3/sec
0.2 | Mass consumption = 2093 kg/sec | Volume consumption = 19 m3/sec
0.21 | Mass consumption = 2203 kg/sec | Volume consumption = 20 m3/sec
0.22 | Mass consumption = 2313 kg/sec | Volume consumption = 21 m3/sec
0.23 | Mass consumption = 2423 kg/sec | Volume consumption = 22 m3/sec
0.24 | Mass consumption = 2534 kg/sec | Volume consumption = 23 m3/sec
0.25 | Mass consumption = 2644 kg/sec | Volume consumption = 24 m3/sec
0.26 | Mass consumption = 2754 kg/sec | Volume consumption = 25 m3/sec
0.27 | Mass consumption = 2864 kg/sec | Volume consumption = 26 m3/sec
0.28 | Mass consumption = 2974 kg/sec | Volume consumption = 27 m3/sec
0.29 | Mass consumption = 3084 kg/sec | Volume consumption = 28 m3/sec
0.3 | Mass consumption = 3195 kg/sec | Volume consumption = 29 m3/sec
0.31 | Mass consumption = 3305 kg/sec | Volume consumption = 30 m3/sec
0.32 | Mass consumption = 3415 kg/sec | Volume consumption = 31 m3/sec
0.33 | Mass consumption = 3525 kg/sec | Volume consumption = 32 m3/sec
0.34 | Mass consumption = 3635 kg/sec | Volume consumption = 33 m3/sec
0.35 | Mass consumption = 3746 kg/sec | Volume consumption = 34 m3/sec
0.36 | Mass consumption = 3856 kg/sec | Volume consumption = 35 m3/sec
0.37 | Mass consumption = 3966 kg/sec | Volume consumption = 36 m3/sec
0.38 | Mass consumption = 4076 kg/sec | Volume consumption = 37 m3/sec
0.39 | Mass consumption = 4186 kg/sec | Volume consumption = 39 m3/sec
0.4 | Mass consumption = 4296 kg/sec | Volume consumption = 40 m3/sec
0.41 | Mass consumption = 4407 kg/sec | Volume consumption = 41 m3/sec
0.42 | Mass consumption = 4517 kg/sec | Volume consumption = 42 m3/sec
0.43 | Mass consumption = 4627 kg/sec | Volume consumption = 43 m3/sec
0.44 | Mass consumption = 4737 kg/sec | Volume consumption = 44 m3/sec
0.45 | Mass consumption = 4847 kg/sec | Volume consumption = 45 m3/sec
0.46 | Mass consumption = 4958 kg/sec | Volume consumption = 46 m3/sec
0.47 | Mass consumption = 5068 kg/sec | Volume consumption = 47 m3/sec
0.48 | Mass consumption = 5178 kg/sec | Volume consumption = 48 m3/sec
0.49 | Mass consumption = 5288 kg/sec | Volume consumption = 49 m3/sec
0.5 | Mass consumption = 5398 kg/sec | Volume consumption = 50 m3/sec
0.51 | Mass consumption = 5508 kg/sec | Volume consumption = 51 m3/sec
0.52 | Mass consumption = 5619 kg/sec | Volume consumption = 52 m3/sec
0.53 | Mass consumption = 5729 kg/sec | Volume consumption = 53 m3/sec
0.54 | Mass consumption = 5839 kg/sec | Volume consumption = 54 m3/sec
0.55 | Mass consumption = 5949 kg/sec | Volume consumption = 55 m3/sec
0.56 | Mass consumption = 6059 kg/sec | Volume consumption = 56 m3/sec
0.57 | Mass consumption = 6169 kg/sec | Volume consumption = 57 m3/sec
0.58 | Mass consumption = 6280 kg/sec | Volume consumption = 58 m3/sec
0.59 | Mass consumption = 6390 kg/sec | Volume consumption = 59 m3/sec
0.6 | Mass consumption = 6500 kg/sec | Volume consumption = 60 m3/sec
0.61 | Mass consumption = 6610 kg/sec | Volume consumption = 61 m3/sec
